Rk;Player;Nacionalidad;Posicion;Equipo;Competicion;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;;CrdY;CrdR
902;Juan Foyth;ar ARG;DF;Villarreal;es La Liga;25;1998;12;12;1062;11.8;1;1;2;1;0;;1;0
903;Matheus França;br BRA;MF,FW;Crystal Palace;eng Premier League;19;2004;10;1;232;2.6;0;1;1;0;0;;1;0
904;Bartol Franjić;hr CRO;MF;Darmstadt 98;de Bundesliga;23;2000;20;14;1229;13.7;0;1;1;0;0;;5;0
905;Przemysław Frankowski;pl POL;DF;Lens;fr Ligue 1;28;1995;30;24;2192;24.4;3;2;5;2;1;;4;0
906;Nathan Fraser;ie IRL;FW;Wolves;eng Premier League;18;2005;7;1;186;2.1;0;0;0;0;0;;1;0
907;Davide Frattesi;it ITA;MF;Inter;it Serie A;23;1999;32;6;955;10.6;6;3;9;6;0;;1;0
908;Jean Frederic N'Guessan;ci CIV;MF,FW;Metz;fr Ligue 1;20;2003;6;1;110;1.2;0;0;0;0;0;;0;0
909;Morten Frendrup;dk DEN;MF;Genoa;it Serie A;22;2001;37;36;3145;34.9;2;5;7;2;0;;6;0
910;Remo Freuler;ch SUI;MF;Bologna;it Serie A;31;1992;32;30;2624;29.2;1;1;2;1;0;;9;0
911;Marco Friedl;at AUT;DF;Werder Bremen;de Bundesliga;25;1998;25;25;2197;24.4;1;0;1;1;0;;6;0
